group1,group2,meandiff,lower,upper,reject
Clinic,Home-based,-0.0622,-0.2049,0.0804,False
Clinic,Other,0.0282,-0.1105,0.1669,False
Clinic,University or college,0.1893,-0.0122,0.3908,False
Home-based,Other,0.0904,-0.0485,0.2294,False
Home-based,University or college,0.2516,0.0499,0.4532,True
Other,University or college,0.1611,-0.0377,0.36,False
