group1,group2,meandiff,lower,upper,reject
0 hours,1-5 hours a week,0.2328,0.0035,0.4622,True
0 hours,11-15 hours a week,0.2946,-0.1863,0.7755,False
0 hours,16+ hours a week,0.5456,0.1071,0.9841,True
0 hours,6-10 hours a week,0.3209,0.028,0.6138,True
1-5 hours a week,11-15 hours a week,0.0618,-0.3979,0.5215,False
1-5 hours a week,16+ hours a week,0.3127,-0.1024,0.7279,False
1-5 hours a week,6-10 hours a week,0.0881,-0.1685,0.3447,False
11-15 hours a week,16+ hours a week,0.2509,-0.3415,0.8434,False
11-15 hours a week,6-10 hours a week,0.0263,-0.4682,0.5208,False
16+ hours a week,6-10 hours a week,-0.2247,-0.678,0.2287,False
