group1,group2,meandiff,lower,upper,reject
1-3 candidates,12+ candidates,0.4787,-0.0319,0.9893,False
1-3 candidates,4-7 candidates,0.1587,0.0267,0.2906,True
1-3 candidates,7-11 candidates,-0.159,-0.485,0.167,False
12+ candidates,4-7 candidates,-0.32,-0.8411,0.201,False
12+ candidates,7-11 candidates,-0.6377,-1.238,-0.0374,True
4-7 candidates,7-11 candidates,-0.3177,-0.6598,0.0245,False
