group1,group2,meandiff,lower,upper,reject
Behavior analysis,Counseling,-0.0083,-0.3177,0.301,False
Behavior analysis,Education,-0.082,-0.2374,0.0735,False
Behavior analysis,Other,-0.3141,-0.5824,-0.0458,True
Behavior analysis,Psychology,-0.0185,-0.1993,0.1624,False
Counseling,Education,-0.0736,-0.3888,0.2415,False
Counseling,Other,-0.3057,-0.6893,0.0778,False
Counseling,Psychology,-0.0101,-0.3385,0.3183,False
Education,Other,-0.2321,-0.507,0.0428,False
Education,Psychology,0.0635,-0.127,0.2541,False
Other,Psychology,0.2956,0.0056,0.5857,True
