group1,group2,meandiff,lower,upper,reject
Behavior analysis,Counseling,-0.0269,-0.2582,0.2043,False
Behavior analysis,Education,-0.0529,-0.1691,0.0633,False
Behavior analysis,Other,-0.1689,-0.3694,0.0317,False
Behavior analysis,Psychology,-0.1246,-0.2598,0.0106,False
Counseling,Education,-0.026,-0.2615,0.2096,False
Counseling,Other,-0.1419,-0.4286,0.1448,False
Counseling,Psychology,-0.0977,-0.3432,0.1478,False
Education,Other,-0.116,-0.3215,0.0895,False
Education,Psychology,-0.0718,-0.2142,0.0707,False
Other,Psychology,0.0442,-0.1726,0.261,False
