group1,group2,meandiff,lower,upper,reject
1-3 candidates,12+ candidates,0.3381,0.0638,0.6125,True
1-3 candidates,4-7 candidates,0.086,-0.0492,0.2212,False
1-3 candidates,7-11 candidates,0.0798,-0.203,0.3626,False
12+ candidates,4-7 candidates,-0.2522,-0.543,0.0387,False
12+ candidates,7-11 candidates,-0.2583,-0.6408,0.1242,False
4-7 candidates,7-11 candidates,-0.0062,-0.305,0.2927,False
