group1,group2,meandiff,lower,upper,reject
0 hours,1-5 hours a week,0.3985,-0.1659,0.963,False
0 hours,11-15 hours a week,0.6482,0.0192,1.2771,True
0 hours,16+ hours a week,0.8939,0.1986,1.5893,True
0 hours,6-10 hours a week,0.5496,-0.0312,1.1305,False
1-5 hours a week,11-15 hours a week,0.2497,-0.0648,0.5641,False
1-5 hours a week,16+ hours a week,0.4954,0.0632,0.9276,True
1-5 hours a week,6-10 hours a week,0.1511,-0.0504,0.3526,False
11-15 hours a week,16+ hours a week,0.2458,-0.2678,0.7593,False
11-15 hours a week,6-10 hours a week,-0.0985,-0.4414,0.2443,False
16+ hours a week,6-10 hours a week,-0.3443,-0.7976,0.109,False
