group1,group2,meandiff,lower,upper,reject
1-3 candidates,12+ candidates,0.7342,0.2879,1.1804,True
1-3 candidates,4-7 candidates,0.2396,0.0196,0.4596,True
1-3 candidates,7-11 candidates,0.3162,-0.1438,0.7763,False
12+ candidates,4-7 candidates,-0.4946,-0.9677,-0.0214,True
12+ candidates,7-11 candidates,-0.4179,-1.0401,0.2042,False
4-7 candidates,7-11 candidates,0.0766,-0.4095,0.5628,False
